*{"timestamp": "09:57:37", "x": 194.41, "y": 299.02}
*{"timestamp": "10:03:53", "x": 199.2, "y": 296.78}
*{"timestamp": "10:10:02", "x": 203.93, "y": 294.53}
*{"timestamp": "10:16:39", "x": 208.94, "y": 292.22}
*{"timestamp": "10:23:05", "x": 213.8, "y": 289.76}
*{"timestamp": "10:29:23", "x": 218.63, "y": 287.33}
*{"timestamp": "10:35:40", "x": 223.35, "y": 284.56}
*{"timestamp": "10:41:20", "x": 227.69, "y": 282.09}
*{"timestamp": "10:48:09", "x": 232.78, "y": 279.25}
*{"timestamp": "10:54:31", "x": 237.6, "y": 276.31}
*{"timestamp": "11:00:45", "x": 242.27, "y": 273.44}
*{"timestamp": "11:07:23", "x": 247.17, "y": 270.19}
*{"timestamp": "11:12:50", "x": 250.92, "y": 267.64}
*{"timestamp": "11:19:14", "x": 255.85, "y": 264.36}
*{"timestamp": "11:25:34", "x": 260.59, "y": 261.12}
*{"timestamp": "11:31:05", "x": 264.58, "y": 258.03}
*{"timestamp": "11:36:54", "x": 268.85, "y": 255.04}
*{"timestamp": "11:42:41", "x": 273.16, "y": 251.93}
*{"timestamp": "11:48:13", "x": 277.13, "y": 248.86}
*{"timestamp": "11:54:52", "x": 281.92, "y": 245.27}
*{"timestamp": "12:01:26", "x": 286.62, "y": 241.47}
*{"timestamp": "12:06:58", "x": 290.63, "y": 238.06}
*{"timestamp": "12:12:37", "x": 294.7, "y": 234.82}
*{"timestamp": "12:19:04", "x": 299.24, "y": 231.26}
*{"timestamp": "12:24:48", "x": 303.27, "y": 227.75}
*{"timestamp": "12:30:21", "x": 307.21, "y": 224.49}
*{"timestamp": "12:35:34", "x": 310.77, "y": 221.3}
*{"timestamp": "12:40:39", "x": 314.17, "y": 218.35}
*{"timestamp": "12:46:12", "x": 317.91, "y": 215.06}
*{"timestamp": "12:51:57", "x": 321.75, "y": 211.59}
*{"timestamp": "12:57:19", "x": 325.3, "y": 208.34}
*{"timestamp": "13:02:20", "x": 328.47, "y": 205.1}
*{"timestamp": "13:07:13", "x": 331.69, "y": 202.18}
*{"timestamp": "13:12:32", "x": 334.98, "y": 198.89}
*{"timestamp": "13:17:27", "x": 338.14, "y": 195.81}
*{"timestamp": "13:23:08", "x": 341.72, "y": 192.08}
*{"timestamp": "13:53:43", "x": 364.98, "y": 167.6}
