*{"timestamp": "11:36:51", "x": 198.64, "y": 291.41}
*{"timestamp": "11:41:56", "x": 204.61, "y": 285.29}
*{"timestamp": "11:46:05", "x": 207.44, "y": 283.06}
*{"timestamp": "11:53:25", "x": 212.17, "y": 279.01}
*{"timestamp": "11:57:23", "x": 214.82, "y": 276.88}
*{"timestamp": "12:43:00", "x": 250.62, "y": 255.36}
*{"timestamp": "12:52:41", "x": 259.71, "y": 246.12}
*{"timestamp": "13:01:29", "x": 264.65, "y": 240.59}
*{"timestamp": "13:08:04", "x": 268.61, "y": 236.42}
*{"timestamp": "13:19:43", "x": 275.7, "y": 228.66}
*{"timestamp": "14:16:18", "x": 313.51, "y": 191.21}
*{"timestamp": "14:50:36", "x": 333.76, "y": 172.38}
*{"timestamp": "14:55:58", "x": 328.73, "y": 167.61}
*{"timestamp": "15:02:42", "x": 331.29, "y": 163.03}
*{"timestamp": "15:12:27", "x": 334.47, "y": 156.48}
